cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
safety hotspot heat mapping to target interventions,4,4,HIGH,False,False,mixed,hazard hotspot mitigation using heat maps and rapid interventions e g cones | safety hotspot heat mapping | safety hotspot heat mapping to target interventions | safety hotspot prioritization using heatmaps,"Gray Ashford: I think John and Jay and Josh had said that they plan on putting some cones down and, you know, working through some things, but that may not happen for a couple weeks or months, which I think that is, like, the platform is meant to allow you to take action without having a perfect pla"
forklift intersection compliance and pit pedestrian near miss detection,4,4,HIGH,False,False,mixed,forklift and pedestrian proximity near miss detection | forklift intersection compliance and pit pedestrian near miss detection | forklift pedestrian collision prevention and intersection compliance | forklift pedestrian near miss detection,"Unknown: Obviously, no-stop-in-intersection is trending 3-4% in the wrong direction. | Unknown: They also had a pit-to-pedestrian incident. | Unknown: so a forklift hitting a pedestrian. | Unknown: Our computer vision AI sits on top of the existing cameras, and then we'll monitor and capture for nea"
door open propped duration monitoring,5,4,MEDIUM,True,False,mixed,dock door open duration tracking | door open propped duration monitoring | open door duration monitoring,Riley Larkin: You mentioned open door durations. | Riley Larkin: We can do that.
quantify impact of safety interventions with leading indicators and markers,5,4,MEDIUM,True,False,mixed,measure impact of safety actions with markers on incident trends | post intervention markers and trend analysis to validate safety actions | quantify impact of safety interventions with leading indicators and markers | safety reporting benchmarking and trend driven interventions,"Dakota Kendrick: We can incorporate, you can see the small note here, we can incorporate these things called markers to show safety, training changes, behavior changes, conversations, to see what the impact is of the changes that we're making from a safety perspective. | Dakota Kendrick: But now we "
ergonomic overreach prevention,4,4,MEDIUM,False,False,voxel,ergonomic overreach prevention | ergonomic risk and overreaching detection | ergonomics overreaches detection | ergonomics overreaching detection,"Charlie Kingsley: for overreaches, you know, pretty similar story. | Charlie Kingsley: we're seeing it in mostly the aisles here | Charlie Kingsley: during that nighttime, that 9 p.m.. to 6 a.m.., when obviously you guys are most busy with picking. | Charlie Kingsley: Here's some of the heat maps fo"
handle low visibility safety vests in ppe detection,3,3,HIGH,False,False,customer,handle low visibility safety vests in ppe detection | ppe compliance monitoring safety vests | ppe safety vest compliance,"Unknown: if you look at safety vests, there's 111 and it's trending 80-90% in the right direction. | Unknown: We have PPE compliance."
stop sign compliance no stop monitoring,3,3,HIGH,False,False,mixed,stop sign compliance no stop monitoring | stop sign compliance no stops monitoring | stop sign required stop compliance,"Charlie Kingsley: We're going to start with no-stops. | Alex Carver: So we set up that rule that there needs to be a complete stop at that stop sign. | Alex Carver: Came through there and didn't stop at all. | Quinn Madden: And there's a lot of video, very similar to that, where they're, you know, n"
spill detection,3,3,HIGH,False,False,mixed,spill and leak detection including hazardous chemicals | spill detection | spill detection for faster response,"Indigo Vaughn: Spills, I think was another one, right? | Indigo Vaughn: We talked about can't identify chemical spills, yep, in danger zones. | Wyatt Quincy: Sometimes, uh, it's like a hydrocholic acid."
ergonomic overreach improper bend monitoring at crfm,3,3,HIGH,False,False,customer,ergonomic overreach improper bend monitoring at crfm | ergonomics monitoring improper bends and overreaching | monitor and mitigate ergonomic risks overreaching improper bend,"Kendall Bennett: So we saw a lot of them in CRFM, both overreach and improper bend. | Kendall Bennett: I'm not sure that those are actually overreaching. | Briar Langley: Let's go overreach. | Briar Langley: The 38, I-dozens of camera."
use anonymized video for non punitive safety training and coaching,3,3,HIGH,False,False,mixed,use anonymized video for non punitive safety training and coaching | use incident videos for safety training and coaching | use incident videos for safety training and coaching with privacy blurring,"Quinn Madden: We can do retroactive blurring. | Quinn Madden: We can turn the blurring on when we export this. | Quinn Madden: which makes it great for frontline training if that's a cultural barrier. | Charlie Kingsley: use this clip or another clip as an example of, hey, here's, you a behavior we "
monitor safety vest ppe compliance and manage seasonal impacts,3,3,HIGH,False,False,customer,monitor safety vest ppe compliance and manage seasonal impacts | ppe vest compliance monitoring | safety vest ppe compliance monitoring in designated areas,"Alden Carver: any time you can pick up any non-compliant PPE, and mainly with the cameras, that involves vests. We would like that, although most of the time when people don't have vests in the facility, they're usually some sort of federal agency, right, that doesn't have to follow the rules."
forklift stop at intersection compliance tracking and analytics,4,3,MEDIUM,True,False,voxel,forklift collision and intersection compliance monitoring | forklift intersection compliance no stop monitoring | forklift stop at intersection compliance tracking and analytics,"Hollis Sawyer: let's say that we're tracking a forklift, no stop at intersection, okay? | Hollis Sawyer: Make sure that that forklift or that pallet jack or that tugger or whatever vehicle it is that you have makes a full and complete stop there and then continues on. | Hollis Sawyer: We're capturin"
safety reporting and coaching workflows,3,3,MEDIUM,True,False,voxel,action management and coaching workflow for safety remediation | safety coaching via actions workflow | safety reporting and coaching workflows,"Kendall Keller: If you click on Create Action, this opens an entire feedback loop that can be tracked from start to finish. | Kendall Keller: Yep, that does go to email. | Kendall Keller: But specifically here, if you create an action, they'll be listed here under Assigned Actions. | Kendall Keller:"
working at heights detection beta,3,3,MEDIUM,False,False,voxel,working at heights detection | working at heights detection beta | working at heights detection potential enable,"Dakota Kendrick: And the POC is mostly working at heights, so I think we should be hyper-specific for our before and after there. | Dakota Kendrick: know that Aaron's told me previously that the scope for the POC is just working at heights, | Riley Winslow: It's primarily working at height, so there"
suspended load hazard detection,3,3,MEDIUM,False,False,voxel,suspended load exposure monitoring | suspended load hazard detection | working under suspended loads detection,"Indigo Vaughn: Like we have a suspended load that's coming out. Actually, think it might have just been released, and that's like, you need that split second, because if that thing falls, or whatever falls on that person, that person might be dead or memed, right? | Indigo Vaughn: No speeding, no id"
action tracking and accountability for safety interventions,3,2,MEDIUM,True,False,mixed,action tracking and accountability for safety interventions | use actions workflow to assign and track safety interventions,"Kendall Keller: So that's really where actions comes into play, and it's a different way of assigning different video clips to folks to focus on specific coaching efforts, but it also gives you more prescriptive next steps with different suggested titles that we offer. | Kendall Keller: And then in "
use historical data to support internal review,2,2,MEDIUM,False,False,mixed,use historical data to support internal review,Hollis Sawyer: Do you have historical facility data we could use for that conversation? | Hollis Sawyer: We usually look at historical incident patterns and before-and-after comparisons to tell that story without getting too detailed. | Palmer York: I can get that data fairly easily.
parking duration monitoring,2,2,MEDIUM,False,False,voxel,parking duration monitoring,"Alex Carver: Stopping and Starting, Parking, | Alex Carver: Truck Wash, curious, | Alex Carver: no, we haven't got a parking duration there yet"
cross site safety analytics and benchmarking,3,2,MEDIUM,True,False,customer,cross site safety analytics and benchmarking | enterprise safety analytics and site benchmarking,"Unknown: All Sites Dashboard, this is going to see how you're going to see all of your sites trending across the corporation. | Unknown: And then from there, we break it down even further by rule set or use case. | Unknown: maybe we jump into no-stop-in-intersection and see across the org and which "
track and close the loop on safety corrective actions with the actions workflow,3,2,MEDIUM,True,False,customer,actions workflow to assign and track safety corrective actions | track and close the loop on safety corrective actions with the actions workflow,Unknown: We're actually launching a new tool today that just went live for all of our customers that will up-level a little bit of your coaching and incident resolution processes based on the old workflow that you guys were using. | Unknown: create action | Unknown: It gives prescriptive next steps 
assign incidents and track accountability,3,2,MEDIUM,True,False,mixed,assign and track actions with accountability and reporting | assign incidents and track accountability,"Kit Peyton: we do want to get it to the managers and supervisors so then we can actually start assigning stuff to the supervisors. | Eden Quill: And so it's going to be different the way that you assign incidents. | Eden Quill: So you're going to be able to report out on, like, what actions were ope"
no stop at end of aisle enforcement focus on quality corner a,2,2,MEDIUM,False,False,customer,end of aisle stop compliance enforcement | no stop at end of aisle enforcement focus on quality corner a,Unknown: There's an increase in no-stop at end of aisle. | Unknown: He placed our modified duty guys in the intersections that should have helped out decrease it. | Unknown: you've done a lot of work to reduce the no-stops.
integrate with existing camera infrastructure no hardware replacement,2,2,MEDIUM,False,False,mixed,integrate with existing camera infrastructure no hardware replacement | integrate with existing cameras and minimize it burden,"Stevie Yates: Apparently, they're looking at going away from those anyway, and they're closed loop, and there's some other stuff that they're telling me. | Stevie Yates: But they had some hesitation on doing certain things with their cameras, so it may be helpful. | Stevie Yates: They're tied back t"
security area control and after hours presence detection,2,2,MEDIUM,False,False,voxel,after hours presence time based access monitoring | security area control and after hours presence detection,"Shawn Abbott: We definitely have a lot of customers leveraging us for sort of security and area control type use cases, where it's like, did we detect a person in this area? | Shawn Abbott: if we wanted to say, you know, let's make sure that there's no one in this area between the hours of 1 a.m.. a"
product condition monitoring,2,2,MEDIUM,False,False,mixed,product condition monitoring | sensitive product condition monitoring,"Jensen Ellison: But then we add this inventory-monitoring need to it. | Jensen Ellison: And now we are doing something with AI at Meridian Works Operations. | Jensen Ellison: So we have to do some, it's called emissivity testing. | Jensen Ellison: We're going to have to do some testing to see if the"
actions workflow to drive behavior change and accountability,2,2,MEDIUM,True,False,mixed,action workflow and accountability tracking | actions workflow to drive behavior change and accountability,"Alden Carver: my goal here is to have them have equal amounts of time blocked off in order to address alerts, right? | Alden Carver: have the employees who are involved in the alerts at a controlled setting in order to review the video that Voxel provides. | Alden Carver: at certain severities, it's"
ppe compliance monitoring hard hats vests gloves,2,2,MEDIUM,False,False,mixed,ppe compliance monitoring hard hats vests | ppe compliance monitoring hard hats vests gloves,"Kendall Keller: PPE, safety vest and hard hats. | Greer Quill: we had some challenges with it picking out like the PPE usage, and so sometimes it thought that people didn't have gloves on when they actually did have them on | Devon Sterling: specifically, like, PPE, ergonomics, and also, like, line "
distraction detection cellphone use,2,2,MEDIUM,False,False,mixed,cell phone distraction monitoring | distraction detection cellphone use,"Finley Tatum: this guy's on his phone, which is, you know, maybe fine, maybe not, I don't know. Is that something that the cameras could pick up and flag as unsafe if people had something like a phone in their hand, or is that too small or innocuous for it to delineate a phone versus a tool of some "
forklift stop compliance at doors intersections,2,2,MEDIUM,False,False,mixed,forklift speed and intersection stop compliance | forklift stop compliance at doors intersections,"Ellis Emery: We don't have speed-limited forklifts. So things can move pretty quickly. And if people aren't paying attention, you know, things could go wrong. | Ellis Emery: The only incident I'm aware of was a collision in the warehouse a few months ago, right, Emerson? | Emerson Keaton: Two, um, m"
outdoor vehicle speeding detection,2,2,MEDIUM,False,False,mixed,outdoor vehicle speeding detection | vehicle speeding detection across lanes,"Alex Carver: We can do speeding, stopping. | Alex Carver: We just need measurements to do speed for them. | Alex Carver: You could tell us, hey, it's 15 miles an hour. | Alex Carver: And so if anyone goes over that, we would flag that. | Alex Carver: So they know if their drivers are, you know, ripp"
assign and track corrective safety actions with owners and due dates,3,2,MEDIUM,True,False,mixed,assign and track actions with owners and due dates | assign and track corrective safety actions with owners and due dates | assign and track corrective safety actions with owners due dates and reporting,"Alex Carver: And then another thing we did was we created actions. | Alex Carver: So, if you come in here and there's something you want to see that you want the whole team to take initiative on or certain sets of people to take initiative on, you can now come in here and create an action. | Alex Ca"
heat maps to locate safety hotspots and guide pre shift coaching,2,2,MEDIUM,False,False,mixed,heat maps to identify safety hotspots and guide layout 5s improvements | heat maps to locate safety hotspots and guide pre shift coaching,"Shawn Abbott: a heat map is extremely powerful when you're looking at it in a really busy area, know, sort of at full peak, full production, what do we need to focus on? | Quinn Madden: what I have here is the heat map first and foremost. | Operations Conference Room 2: You've already started doing "
crosswalk compliance monitoring,2,2,MEDIUM,False,False,customer,crosswalk compliance monitoring | exterior crosswalk and stop compliance monitoring,"Ryan Archer: But should be at the designated walkway, because where you have the end of the rack on your left. | Ryan Archer: One of things also, we want to make sure that employees are following the crosswalks, but there's no designated stops for co-drivers."
incident heat mapping to identify hotspots,2,2,MEDIUM,False,False,mixed,heatmaps to identify safety hotspots | incident heat mapping to identify hotspots,Unknown: I know you guys are heatmaps beta testers. | Unknown: And almost all of it is concentrated to the Aisle Camera 3. | Unknown: it shows you that these two sections are where a lot of this is occurring. | Unknown: the most prominent occurrence is Wednesdays around 3 a.m..
incident investigation via video review,2,2,MEDIUM,False,False,customer,incident investigation via video review | post incident video review,"Arden Rutherford: New facility, security cameras are going in, and they're going to be used for, like, security. And then, honestly, I'm the district HSC manager, so if they have any incidents, we can go back to the video and try to do some investigation type work, and so on and so forth."
timely alerting for safety issues,2,2,MEDIUM,False,False,mixed,timely alerting for safety issues | timely alerts for critical safety events,"Unknown: We set up proactive notifications so that if something hits Voxel, it goes out to the appropriate individual based on how you configure it. | Unknown: like a pit to pedestrian near miss. | Unknown: You might want to set that up as an automatic notification to whoever you designate."
global safety risk dashboard and heatmap visibility,2,2,MEDIUM,False,False,mixed,global safety risk dashboard and heatmap visibility | risk heat maps and safety analytics,"Ashton Beckett: One of them offers, for the global team, like, for somebody like me and Drew and Sydney and the other global team members, one of the solutions offers the map, right? | Ashton Beckett: And the map with the scores in there, where it shows, like, you pull up your screen, and you can se"
spill detection to prevent slip corrosive hazards,2,2,MEDIUM,False,False,customer,slip and spill hazard detection with near alerts | spill detection to prevent slip corrosive hazards,"Unknown: Let's say for a grocery store, could think about like liquid spills or any kind of like spill on the ground that could be a slipship and fall hazard, | Unknown: Let's say there was a spill on the floor and employees walking by it, right, not doing anything about it, right? We would like to "
reminders for overdue actions,2,2,MEDIUM,False,False,mixed,reminders for overdue actions | reminders for past due actions,"Dylan Tatum: Is there a way to send them like a reminder or anything like that, that they've got actions pending or like they get an email like, hey, your actions past due or your about a week past due or whatever it is. | Eden Quill: Not today, but it is something we expect to support later. | Eden"
pit parking duration monitoring and camera zone tuning,2,2,MEDIUM,True,False,customer,pit parking duration and distraction monitoring | pit parking duration monitoring and camera zone tuning,Harper Sullivan: I think that that has to do with most of the time because they park their vehicle and they go for lunch or they park their vehicle. | Harper Sullivan: So the vehicle will be parked for a while before it's actually moved. | Harper Sullivan: So that I think will always be going up ins
refine obstruction regions to reduce false positives,2,2,MEDIUM,False,False,customer,obstruction detection tuning due to false positives | refine obstruction regions to reduce false positives,"Casey Carlisle: It's been obstructed for materials that are inside the layout. | Casey Carlisle: Yeah, so it is inside the layout, but it's detected by Voxel as it will be an obstruction and it isn't. | Casey Carlisle: The same, but we might need to use the gray or white areas because the black area"
pit speeding monitoring,2,2,MEDIUM,False,False,mixed,pit speed and stop compliance monitoring | pit speeding monitoring,"Shawn Abbott: getting the governors set from the beginning and, you know, potentially I do need to circle back and understand if you guys ended up paying that little bit of extra money to Iron Harbor Fleet for a password-protected governor. | Operations Conference Room 2: remember how they have the "
food safety ppe compliance hair nets and beard nets,2,2,MEDIUM,False,False,voxel,food hygiene ppe compliance hair nets and beard nets | food safety ppe compliance hair nets and beard nets,"Riley Winslow: We also do hair nets and beard nets. | Riley Winslow: Those are obviously more food safety focused, though potentially relevant."
hotspot identification to target high risk areas,2,2,MEDIUM,False,False,mixed,heat maps and hotspot analytics to target high risk areas | hotspot identification to target high risk areas,"Drew Sullivan: It definitely had the capability to pick out the hotspots or when the most, the areas that had the most violations or potential violations, but not, not being where it was actually mapping it out in this situation. | Drew Sullivan: That's very helpful."
tune no pedestrian zone detection to focus on real pedestrian forklift risks,2,2,MEDIUM,False,False,customer,forklift pit and pedestrian safety monitoring including no pedestrian zones | tune no pedestrian zone detection to focus on real pedestrian forklift risks,"Unknown: Yeah, I mean, that's exactly where ergonomics, forklift safety, PPE detection, obstructions, we call it no pedestrian zones, areas that you don't want people to be | Unknown: Lots of different styles, too. | Unknown: So we'll have walk behinds. | Unknown: We'll have walk behind stackers, fo"
forklift speeding detection,2,2,MEDIUM,False,False,mixed,forklift speeding detection | forklift speeding monitoring,"Indigo Vaughn: Oh, there's speeding. Speeding. | Wyatt Quincy: So, for example, there's a fog clip going above the speed limit, which means it can be detected. | Indigo Vaughn: Look, this guy's going over the speed limit that you determined."
ppe compliance monitoring bump caps and safety vests with tuning and zoning,2,2,MEDIUM,False,False,mixed,ppe compliance monitoring bump caps and safety vests with tuning and zoning | ppe compliance monitoring in parking lots safety vests and other ppe,"Nico Blaine: I usually take a look at the Wednesday and Thursdays to see if anyone forgot to put their hat on or their vest, but I noticed it wasn't coming up. | Gale Hadley: I want to go back through the cameras, because we are finding a lot of things like bump caps that are popping up. | Gale Hadl"
facility layout adjustments to reduce pit proximity risk,2,2,MEDIUM,False,False,mixed,facility layout adjustments to reduce pit proximity risk | pit to pit proximity hazard analysis for layout changes,"Unknown: To pit proximity, that's an interesting one. I think we should look at those. | Unknown: I'm always interested in those because sometimes that's something we can address with, you know, design or layout of the DC."
yard vehicle speeding alerts,2,2,MEDIUM,False,False,customer,yard outside vehicle behavior idling speeding | yard vehicle speeding alerts,"Cory Barton: Is there anything outside that we want to track as well? | Arielle Sterling: Like, and we have great area controls, like, I mean, idling, you know, speeding, you know, stuff."
ppe safety gloves compliance and training,2,2,MEDIUM,False,False,voxel,ppe safety glove compliance monitoring | ppe safety gloves compliance and training,"Kendall Keller: Federal Safety Bureau standards and our common interventions that customers take for this use case type, so safety gloves. | Kendall Keller: could be as simple as provide team members with gloves, train and retrain team, ensure gloves are accessible, whatever the case is. | Kendall K"
proactive near miss detection and visibility,2,2,MEDIUM,False,False,customer,near miss detection and proactive monitoring | proactive near miss detection and visibility,"Arden Rutherford: how it picks up near misses, people and equipment interactions, and then the data compilation and interactive reporting if we want our foremen to get those, or if we want to keep it in the HSC department at first, so we can take a more proactive approach before issues become bigger"
ergonomic overreaching and overhead lifting risk,2,2,MEDIUM,False,False,mixed,ergonomic overreaching and overhead lifting risk | ergonomic risk monitoring and coaching overreaching lifting carrying,"Lane Oakley: I know it seems like speeding is kind of a primary focus and certainly the pit interactions, but there might be some kind of some low-hanging fruit areas in the overreaching category. | Lane Oakley: There's several different things that I've picked up on, whether it's pallets over the h"
quality inspection via computer vision,2,2,MEDIUM,False,False,mixed,quality control visual inspection with cameras | quality inspection via computer vision,"Drew Sullivan: Now, this other group has been, and we haven't explored it too much, has been saying that they're working with some, particularly paper mills, QC type, quality control, visual inspection type stuff with the cameras. | Drew Sullivan: We haven't gone down that, but is that something you"
obstruction egress walkway clearance monitoring,2,2,MEDIUM,False,False,mixed,obstruction detection for egress pedestrian walkways | obstruction egress walkway clearance monitoring,"Ryan Archer: So that means that nothing should be parked over there. | Ryan Archer: There should be no materials sitting over there at all. | Shawn Abbott: Like 60 seconds? | Ryan Archer: In any walkways, we don't want material sitting on the walkways for more than a minute. | Marlowe Vaughn: You do"
obstruction hazard monitoring,2,2,MEDIUM,False,False,voxel,obstruction hazard detection in critical areas | obstruction hazard monitoring,"Kendall Keller: In addition to that, no PED zone, obstructions, no stop at end of vial."
behavior based safety analytics with heat maps pilot,2,2,MEDIUM,False,False,voxel,behavior based safety analytics with heat maps pilot | proactive safety analytics heat maps and action insights,"Alex Carver: heat map should be coming here. Hopefully by the end of this month, it'll be live for every customer. | Alex Carver: Voxel will start, air quotes, saying, hey, you you guys are having improper bend spikes around this time of the week. | Alex Carver: Here's four options that may help, yo"
pinpoint hazard hotspots with heat maps to drive mitigations,2,2,MEDIUM,False,False,mixed,heatmaps to pinpoint hazard hotspots | pinpoint hazard hotspots with heat maps to drive mitigations,"Alex Carver: And then the last, I think the most exciting thing is Heat Maps is now, it's going officially live to everybody at the end. | Alex Carver: So this is an example from, you know, a customer of looking at their pit to pit on this exact camera. | Alex Carver: But now you have that fourth la"
safety vest compliance tracking,2,2,MEDIUM,False,False,customer,high visibility safety vest compliance monitoring | safety vest compliance tracking,Unknown: You've actually seen a pretty sharp decrease in safety vest incidents.
detect dangerous zone intrusions to drive engineering redesign,1,1,MEDIUM,False,False,customer,detect dangerous zone intrusions to drive engineering redesign,"Tristan Locke: I remember the one guy, you know, kind of ducking in between the boards. | Tristan Locke: And then they kind of redesigned that whole area. | Tristan Locke: I think if we would have put a marker on that date, you probably would have seen the trend go sharply down."
access heatmaps for improper bend and overreaching,1,1,MEDIUM,False,False,customer,access heatmaps for improper bend and overreaching,"Casey Carlisle: The heatmaps aren't yet launched for us. | Casey Carlisle: We, we, I don't remember if David shared to us, but it might be useful if we can, if you can send at least the improper band and overreaching. | Casey Carlisle: I believe there are two or a few cameras that are giving a lot o"
access egress safety and restricted area intrusion,1,1,MEDIUM,False,False,mixed,access egress safety and restricted area intrusion,"Lennon Sawyer: I don't know if you guys have anything on access and egress. | Dakota Kendrick: Yeah, so we can define, like, no pedestrian zones where people should never be. | Dakota Kendrick: We can do a no obstruction zone, so, like, nothing should be blocking this area. | Brennan Walker: Restric"
fork truck idle time monitoring via sterling axis insights,1,1,MEDIUM,False,False,customer,fork truck idle time monitoring via sterling axis insights,"Oakley Winslow: Do you want to do fork truck idle time or no? | Marlowe Vaughn: So we're installing the Sterling Axis Insights, so we don't really need that. | Marlowe Vaughn: Once that's installed, it'll tell us idle time."
supervisor specific boards and action follow up for safety,1,1,MEDIUM,False,False,mixed,supervisor specific boards and action follow up for safety,"Nico Blaine: Are we able to assign specific cameras to those individuals? | Alex Carver: Yes, you guys can. So we can do that through boards. | Alex Carver: So the way we'll set it up is this supervisor needs these a few cameras, all use cases, whatever you guys want to name it, we'll name it. | Gal"
dolly brake tongue position compliance,1,1,MEDIUM,False,False,customer,dolly brake tongue position compliance,"Alden Carver: Dollies have to be up. Dolly tongues have to be up for brakes to be set. So, we don't have runaway units, different things like that."
line of fire hazard observation support,1,1,MEDIUM,False,False,customer,line of fire hazard observation support,"Devon Sterling: using the cameras, I like to see it kind of align with some of the things we're doing as a company with, like, safety observations, you know, specifically, like, PPE, ergonomics, and also, like, line of fire type hazards, but obviously with the forklifts, I think it supports it prett"
actions workflow for incident and task management,1,1,MEDIUM,False,False,customer,actions workflow for incident and task management,"Unknown: create action | Unknown: It gives prescriptive next steps in terms of how you can address this. | Unknown: It allows for people to be assigned to different areas as well, and you can also subscribe in order to follow the event from start to finish. | Unknown: you can also include a due date"
update contracts to reflect new leadership and stakeholders,1,1,MEDIUM,False,False,mixed,update contracts to reflect new leadership and stakeholders,"Teagan Monroe: Now, I know that we have the contract somewhere, but when you send out the bill, do you also send out a new contract for the new leadership? | Shawn Abbott: Yeah, we can send out, we can sign out the executed order forms, and then if we come together, we could, if we wanted to craft s"
filter cleaning related spills via timing threshold,1,1,MEDIUM,False,False,mixed,filter cleaning related spills via timing threshold,"Casey Carlisle: oh, I remember another thing that they were going to see if it's possible to add some timing to the spill category, just like you do in obstruction, because when they are mopping the floor, we have some spills incidents that are not real. | Casey Carlisle: Yeah, so for example, most "
open door monitoring for security,1,1,MEDIUM,False,False,customer,open door monitoring for security,"Arden Rutherford: I mean, I like the open door thing for the security reasons too as well."
